Date,Close,Volume,Open,High,Low
11/26/2019,$59.63 ,7656565,$60.42 ,$60.54 ,$58.94 
11/25/2019,$60.67 ,4657040,$60.69 ,$61.05 ,$60.56 
11/22/2019,$60.60 ,3506890,$60.94 ,$61.27 ,$60.41 
11/21/2019,$60.62 ,3963195,$61.36 ,$61.41 ,$60.46 
11/20/2019,$61.34 ,5933756,$61.21 ,$61.53 ,$60.68 
11/19/2019,$61.45 ,4201166,$62.16 ,$62.16 ,$61.10 
11/18/2019,$61.94 ,4578154,$62.07 ,$62.38 ,$61.71 
11/15/2019,$62.14 ,5321153,$61.88 ,$62.88 ,$61.81 
11/14/2019,$61.94 ,4184733,$62.30 ,$62.66 ,$61.62 
11/13/2019,$62.25 ,5086354,$62.63 ,$62.82 ,$61.78 
11/12/2019,$62.72 ,6903446,$62.30 ,$62.85 ,$61.51 
11/11/2019,$62.25 ,24420890,$62.64 ,$63.24 ,$61.21 
11/8/2019,$59.24 ,5450275,$58.73 ,$59.48 ,$58.08 
11/7/2019,$58.67 ,9861730,$59.82 ,$60.80 ,$58.56 
11/6/2019,$59.49 ,13655140,$61.69 ,$61.70 ,$58.54 
11/5/2019,$61.21 ,28677940,$59.99 ,$64.50 ,$59.12 
11/4/2019,$59.65 ,10758500,$57.90 ,$60 ,$57.88 
11/1/2019,$57.38 ,8239006,$55.08 ,$57.71 ,$55.01 
10/31/2019,$54.78 ,6969953,$55.88 ,$55.88 ,$54.00 
10/30/2019,$55.86 ,3684425,$56.15 ,$56.58 ,$55.21 
10/29/2019,$56.27 ,5968942,$55.55 ,$56.81 ,$54.84 
10/28/2019,$55.80 ,8066910,$56.04 ,$56.45 ,$54.93 
10/25/2019,$55.42 ,4806506,$54.20 ,$55.57 ,$54.02 
10/24/2019,$54.45 ,3602263,$54.59 ,$55.26 ,$53.83 
10/23/2019,$54.56 ,4677817,$53.86 ,$54.69 ,$53.55 
10/22/2019,$55.32 ,3836069,$54.88 ,$55.51 ,$54.52 
10/21/2019,$54.59 ,5201533,$55.15 ,$55.50 ,$54.28 
10/18/2019,$55.30 ,4682351,$56.02 ,$56.17 ,$55.27 
10/17/2019,$55.94 ,4831812,$54.98 ,$56.10 ,$54.78 
10/16/2019,$54.66 ,2977171,$54.48 ,$55.20 ,$54.26 
10/15/2019,$54.52 ,3398182,$53.76 ,$54.85 ,$53.73 
10/14/2019,$53.67 ,2542421,$53.74 ,$53.96 ,$53.17 
10/11/2019,$53.99 ,4803425,$53.45 ,$54.60 ,$53.45 
10/10/2019,$52.93 ,3363099,$52.24 ,$53.27 ,$52.24 
10/9/2019,$52.08 ,4753858,$52.61 ,$52.73 ,$52.03 
10/8/2019,$52.09 ,4704350,$52.35 ,$52.75 ,$51.86 
10/7/2019,$52.76 ,4494622,$52.83 ,$53.12 ,$52.57 
10/4/2019,$52.97 ,3985765,$52.74 ,$53.06 ,$52.06 
10/3/2019,$52.60 ,3776218,$52.83 ,$53.05 ,$51.57 
10/2/2019,$52.83 ,5018863,$54.53 ,$54.62 ,$52.73 
10/1/2019,$54.70 ,4843023,$55.26 ,$55.87 ,$54.28 
9/30/2019,$55.31 ,3310598,$54.61 ,$55.51 ,$54.55 
9/27/2019,$54.41 ,3403067,$54.24 ,$54.96 ,$53.72 
9/26/2019,$54.08 ,3864825,$54.70 ,$54.82 ,$53.56 
9/25/2019,$54.36 ,3408561,$53.69 ,$54.56 ,$53.32 
9/24/2019,$53.63 ,5431656,$54.67 ,$54.76 ,$53.23 
9/23/2019,$54.32 ,4190220,$54.94 ,$55.09 ,$53.78 
9/20/2019,$55 ,11240750,$54.39 ,$55.94 ,$54.26 
9/19/2019,$54.57 ,4407761,$54.64 ,$55.04 ,$54.44 
9/18/2019,$54.41 ,3945341,$54.64 ,$54.73 ,$53.92 
9/17/2019,$54.84 ,4858032,$55.34 ,$55.34 ,$54.22 
9/16/2019,$55.34 ,3660839,$55.35 ,$55.70 ,$55.06 
9/13/2019,$55.99 ,3872245,$55.95 ,$56.44 ,$55.30 
9/12/2019,$55.56 ,6771712,$58 ,$58 ,$55.26 
9/11/2019,$58.06 ,6992339,$57.34 ,$58.10 ,$56.83 
9/10/2019,$56.88 ,6930907,$55.57 ,$57 ,$55.46 
9/9/2019,$55.59 ,9416368,$52.65 ,$55.70 ,$52.65 
9/6/2019,$52.56 ,2565577,$52.67 ,$52.80 ,$52.15 
9/5/2019,$52.33 ,3807246,$51.80 ,$52.77 ,$51.80 
9/4/2019,$51.43 ,4695354,$50.73 ,$51.62 ,$50.73 
9/3/2019,$50.43 ,3975099,$51.25 ,$51.32 ,$50.04 
8/30/2019,$51.19 ,5194919,$50.68 ,$51.19 ,$50.45 
8/29/2019,$50.40 ,3271190,$50.34 ,$50.82 ,$50.22 
8/28/2019,$49.95 ,2616178,$49.26 ,$49.99 ,$49.03 
8/27/2019,$49.45 ,5049510,$50.44 ,$50.52 ,$49.35 
8/26/2019,$50.04 ,3647963,$49.98 ,$50.13 ,$49.56 
8/23/2019,$49.32 ,5946099,$50.54 ,$51.02 ,$49.14 
8/22/2019,$50.95 ,3772776,$51.15 ,$51.40 ,$50.67 
8/21/2019,$50.90 ,2964138,$51.04 ,$51.67 ,$50.78 
8/20/2019,$50.67 ,3312041,$51.21 ,$51.53 ,$50.63 
8/19/2019,$51.16 ,5128881,$50.63 ,$51.44 ,$50.61 
8/16/2019,$50.48 ,4575271,$49.63 ,$50.74 ,$49.50 
8/15/2019,$49.29 ,6299110,$50.80 ,$50.81 ,$49.12 
8/14/2019,$50.41 ,6193635,$52.44 ,$52.44 ,$50.36 
8/13/2019,$53.07 ,5274689,$51.94 ,$53.90 ,$51.51 
8/12/2019,$52 ,3729379,$52.78 ,$52.89 ,$51.68 
8/9/2019,$52.79 ,2915890,$52.82 ,$53.05 ,$52.33 
8/8/2019,$53.02 ,3400304,$52.48 ,$53.03 ,$52.35 
8/7/2019,$52.48 ,6258369,$51.04 ,$52.61 ,$50.09 
8/6/2019,$51.45 ,6742302,$52 ,$52.25 ,$50.79 
8/5/2019,$51.87 ,6751697,$53.47 ,$53.59 ,$51.66 
8/2/2019,$53.68 ,4524044,$54.19 ,$54.35 ,$53.07 
8/1/2019,$54.07 ,5921020,$54.60 ,$55.77 ,$53.90 
7/31/2019,$54.49 ,6642211,$55.28 ,$55.45 ,$53.79 
