Date,Open,OpenPrev,ClosePrev,OpenPrev2,ClosePrev2,OpenPrev3,ClosePrev3,OpenPrev4,ClosePrev4,OpenPrev5,ClosePrev5
2019-11-26,60.42 ,60.69 ,60.67 ,60.94 ,60.60 ,61.36 ,60.62 ,61.21 ,61.34 ,62.16 ,61.45 
2019-11-25,60.69 ,60.94 ,60.60 ,61.36 ,60.62 ,61.21 ,61.34 ,62.16 ,61.45 ,62.07 ,61.94 
2019-11-22,60.94 ,61.36 ,60.62 ,61.21 ,61.34 ,62.16 ,61.45 ,62.07 ,61.94 ,61.88 ,62.14 
2019-11-21,61.36 ,61.21 ,61.34 ,62.16 ,61.45 ,62.07 ,61.94 ,61.88 ,62.14 ,62.30 ,61.94 
2019-11-20,61.21 ,62.16 ,61.45 ,62.07 ,61.94 ,61.88 ,62.14 ,62.30 ,61.94 ,62.63 ,62.25 
2019-11-19,62.16 ,62.07 ,61.94 ,61.88 ,62.14 ,62.30 ,61.94 ,62.63 ,62.25 ,62.30 ,62.72 
2019-11-18,62.07 ,61.88 ,62.14 ,62.30 ,61.94 ,62.63 ,62.25 ,62.30 ,62.72 ,62.64 ,62.25 
2019-11-15,61.88 ,62.30 ,61.94 ,62.63 ,62.25 ,62.30 ,62.72 ,62.64 ,62.25 ,58.73 ,59.24 
2019-11-14,62.30 ,62.63 ,62.25 ,62.30 ,62.72 ,62.64 ,62.25 ,58.73 ,59.24 ,59.82 ,58.67 
2019-11-13,62.63 ,62.30 ,62.72 ,62.64 ,62.25 ,58.73 ,59.24 ,59.82 ,58.67 ,61.69 ,59.49 
2019-11-12,62.30 ,62.64 ,62.25 ,58.73 ,59.24 ,59.82 ,58.67 ,61.69 ,59.49 ,59.99 ,61.21 
2019-11-11,62.64 ,58.73 ,59.24 ,59.82 ,58.67 ,61.69 ,59.49 ,59.99 ,61.21 ,57.90 ,59.65 
2019-11-08,58.73 ,59.82 ,58.67 ,61.69 ,59.49 ,59.99 ,61.21 ,57.90 ,59.65 ,55.08 ,57.38 
2019-11-07,59.82 ,61.69 ,59.49 ,59.99 ,61.21 ,57.90 ,59.65 ,55.08 ,57.38 ,55.88 ,54.78 
2019-11-06,61.69 ,59.99 ,61.21 ,57.90 ,59.65 ,55.08 ,57.38 ,55.88 ,54.78 ,56.15 ,55.86 
2019-11-05,59.99 ,57.90 ,59.65 ,55.08 ,57.38 ,55.88 ,54.78 ,56.15 ,55.86 ,55.55 ,56.27 
2019-11-04,57.90 ,55.08 ,57.38 ,55.88 ,54.78 ,56.15 ,55.86 ,55.55 ,56.27 ,56.04 ,55.80 
2019-11-01,55.08 ,55.88 ,54.78 ,56.15 ,55.86 ,55.55 ,56.27 ,56.04 ,55.80 ,54.20 ,55.42 
2019-10-31,55.88 ,56.15 ,55.86 ,55.55 ,56.27 ,56.04 ,55.80 ,54.20 ,55.42 ,54.59 ,54.45 
2019-10-30,56.15 ,55.55 ,56.27 ,56.04 ,55.80 ,54.20 ,55.42 ,54.59 ,54.45 ,53.86 ,54.56 
